2026-03-24 01:12:26 [DEBUG] __main__ — [52185204] -> #3  55B  seq=2
2026-03-24 01:12:26 [DEBUG] __main__ — [transport:acc1] text-send  len=134  action=data
2026-03-24 01:12:26 [DEBUG] __main__ — [52185204] local EOF
2026-03-24 01:12:26 [DEBUG] __main__ — [transport:acc1] text-send  len=57  action=close
2026-03-24 01:12:27 [DEBUG] __main__ — [transport:acc1] text-recv  action=closed  id=52185204
2026-03-24 01:12:27 [DEBUG] __main__ — [52185204] <- closed by server
2026-03-24 01:12:27 [INFO] __main__ — DONE 188.40.167.82:443 [52185204] | ↑838B/3f (0.4 КБ/с)  ↓3878B/3f (1.9 КБ/с)  2.0s
2026-03-24 01:12:34 [INFO] __main__ — SOCKS5 → www.speedtest.net:443
2026-03-24 01:12:34 [DEBUG] __main__ — [transport:acc2] text-send  len=84  action=connect
2026-03-24 01:12:35 [DEBUG] __main__ — [transport:acc2] text-recv  action=ok  id=fa56689a
2026-03-24 01:12:35 [DEBUG] __main__ — [fa56689a] <- ok
2026-03-24 01:12:35 [INFO] __main__ — tunnel www.speedtest.net:443 [fa56689a]  открыт за ~371 мс
2026-03-24 01:12:35 [DEBUG] __main__ — [fa56689a] -> #1  1998B  seq=0
2026-03-24 01:12:35 [DEBUG] __main__ — [transport:acc1] text-send  len=2722  action=data
2026-03-24 01:12:35 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=fa56689a
2026-03-24 01:12:35 [DEBUG] __main__ — [fa56689a] <- data #1  1375B  seq=0
2026-03-24 01:12:35 [DEBUG] __main__ — [fa56689a] -> #2  1667B  seq=1
2026-03-24 01:12:35 [DEBUG] __main__ — [transport:acc2] text-send  len=2282  action=data
2026-03-24 01:12:35 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=fa56689a
2026-03-24 01:12:35 [DEBUG] __main__ — [fa56689a] <- data #2  521B  seq=1
2026-03-24 01:12:35 [DEBUG] __main__ — [fa56689a] -> #3  31B  seq=2
2026-03-24 01:12:35 [DEBUG] __main__ — [transport:acc1] text-send  len=102  action=data
2026-03-24 01:12:36 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=fa56689a
2026-03-24 01:12:36 [DEBUG] __main__ — [fa56689a] <- data #3  866B  seq=13
2026-03-24 01:12:36 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=fa56689a
2026-03-24 01:12:36 [DEBUG] __main__ — [fa56689a] <- data #4  110B  seq=19
2026-03-24 01:12:36 [INFO] __main__ — SOCKS5 → eppo-proxy.phantom.app:443
2026-03-24 01:12:36 [DEBUG] __main__ — [transport:acc1] text-send  len=89  action=connect
2026-03-24 01:12:37 [INFO] __main__ — SOCKS5 → data.phantom.app:443
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc2] text-send  len=83  action=connect
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc1] text-recv  action=ok  id=56f02055
2026-03-24 01:12:37 [DEBUG] __main__ — [56f02055] <- ok
2026-03-24 01:12:37 [INFO] __main__ — tunnel eppo-proxy.phantom.app:443 [56f02055]  открыт за ~357 мс
2026-03-24 01:12:37 [DEBUG] __main__ — [56f02055] -> #1  2003B  seq=0
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc1] text-send  len=2730  action=data
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2986172027  action=data
2026-03-24 01:12:37 [DEBUG] __main__ — [fa56689a] <- data #5  2900B  seq=2
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2981371512  action=data
2026-03-24 01:12:37 [DEBUG] __main__ — [fa56689a] <- data #6  2900B  seq=3
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc2] text-recv  action=ok  id=dfb24beb
2026-03-24 01:12:37 [DEBUG] __main__ — [dfb24beb] <- ok
2026-03-24 01:12:37 [INFO] __main__ — tunnel data.phantom.app:443 [dfb24beb]  открыт за ~348 мс
2026-03-24 01:12:37 [DEBUG] __main__ — [dfb24beb] -> #1  1822B  seq=0
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc1] text-send  len=2490  action=data
2026-03-24 01:12:37 [INFO] __main__ — SOCKS5 → cdn.ziffstatic.com:443
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc1] text-send  len=85  action=connect
2026-03-24 01:12:37 [INFO] __main__ — SOCKS5 → blowfish-blocklist-proxy.phantom.app:443
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc2] text-send  len=103  action=connect
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=56f02055
2026-03-24 01:12:37 [DEBUG] __main__ — [56f02055] <- data #1  1375B  seq=0
2026-03-24 01:12:37 [DEBUG] __main__ — [56f02055] -> #2  757B  seq=1
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc2] text-send  len=1070  action=data
2026-03-24 01:12:37 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2981404584  action=data
2026-03-24 01:12:37 [DEBUG] __main__ — [fa56689a] <- data #7  2900B  seq=4
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=ok  id=47334949
2026-03-24 01:12:38 [DEBUG] __main__ — [47334949] <- ok
2026-03-24 01:12:38 [INFO] __main__ — tunnel cdn.ziffstatic.com:443 [47334949]  открыт за ~479 мс
2026-03-24 01:12:38 [DEBUG] __main__ — [47334949] -> #1  2079B  seq=0
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=2830  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=56f02055
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] <- data #2  386B  seq=14
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=56f02055
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] <- data #3  1730B  seq=36
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=56f02055
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=dfb24beb
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] <- data #4  521B  seq=1
2026-03-24 01:12:38 [DEBUG] __main__ — [dfb24beb] <- data #1  560B  seq=1
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=56f02055
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=ok  id=44cb36a5
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] <- data #5  1338B  seq=5
2026-03-24 01:12:38 [DEBUG] __main__ — [44cb36a5] <- ok
2026-03-24 01:12:38 [INFO] __main__ — tunnel blowfish-blocklist-proxy.phantom.app:443 [44cb36a5]  открыт за ~543 мс
2026-03-24 01:12:38 [DEBUG] __main__ — [44cb36a5] -> #1  2017B  seq=0
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] -> #3  31B  seq=2
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=2750  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=102  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=56f02055
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] <- data #6  399B  seq=73
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2993898882  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [fa56689a] <- data #8  2900B  seq=5
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=56f02055
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] <- data #7  111B  seq=170
2026-03-24 01:12:38 [DEBUG] __main__ — [fa56689a] -> #4  478B  seq=3
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-send  len=698  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [fa56689a] -> #5  257B  seq=4
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=402  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=47334949
2026-03-24 01:12:38 [DEBUG] __main__ — [47334949] <- data #1  264B  seq=0
2026-03-24 01:12:38 [INFO] __main__ — SOCKS5 → accounts.google.com:443
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=86  action=connect
2026-03-24 01:12:38 [DEBUG] __main__ — [47334949] -> #2  576B  seq=1
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-send  len=826  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=56f02055
2026-03-24 01:12:38 [DEBUG] __main__ — [56f02055] <- data #8  1124B  seq=185
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2984143556  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [fa56689a] <- data #9  2900B  seq=6
2026-03-24 01:12:38 [INFO] __main__ — SOCKS5 → polkadot.js.org:443
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-send  len=82  action=connect
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=44cb36a5
2026-03-24 01:12:38 [DEBUG] __main__ — [44cb36a5] <- data #1  1375B  seq=0
2026-03-24 01:12:38 [DEBUG] __main__ — [44cb36a5] -> #2  1042B  seq=1
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-send  len=1450  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] file-recv  fileId=2976962027  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [fa56689a] <- data #10  2900B  seq=7
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=fa56689a
2026-03-24 01:12:38 [DEBUG] __main__ — [fa56689a] <- data #11  435B  seq=20
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=fa56689a
2026-03-24 01:12:38 [DEBUG] __main__ — [fa56689a] <- data #12  112B  seq=21
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=ok  id=5f2f25ae
2026-03-24 01:12:38 [DEBUG] __main__ — [5f2f25ae] <- ok
2026-03-24 01:12:38 [INFO] __main__ — tunnel accounts.google.com:443 [5f2f25ae]  открыт за ~334 мс
2026-03-24 01:12:38 [DEBUG] __main__ — [5f2f25ae] -> #1  2220B  seq=0
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=3018  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=47334949
2026-03-24 01:12:38 [DEBUG] __main__ — [47334949] <- data #2  585B  seq=1
2026-03-24 01:12:38 [DEBUG] __main__ — [47334949] -> #3  31B  seq=2
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=102  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=44cb36a5
2026-03-24 01:12:38 [DEBUG] __main__ — [44cb36a5] <- data #2  521B  seq=1
2026-03-24 01:12:38 [DEBUG] __main__ — [44cb36a5] -> #3  31B  seq=2
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-send  len=102  action=data
2026-03-24 01:12:38 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=44cb36a5
2026-03-24 01:12:38 [DEBUG] __main__ — [44cb36a5] <- data #3  358B  seq=2
2026-03-24 01:12:39 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2978368332  action=data
2026-03-24 01:12:39 [DEBUG] __main__ — [fa56689a] <- data #13  2900B  seq=8
2026-03-24 01:12:39 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=5f2f25ae
